Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Aqui estão 10 pares pergunta,resposta gerados a partir do texto fornecido,0.8,3.43523,1.0,0.250,1.14286,4.10211,1.0,0.500
Qual é a altitude do Reno na sua foz?,0.0,2.6,4.61384,1.0,0.250,0.0,1.0,1.0,0.000
Onde o Reno nasce?,Tomasee,1.6,3.01273,1.0,0.000,0.0,1.0,1.0,0.000
Quais países o Reno atravessa?,Áustria,1.83333,3.43523,1.0,0.000,0.0,1.0,1.0,0.000
O que é o Reno?,Um rio da Europa,1.5,3.59796,0.8,0.000,1.0,3.01273,1.0,0.500
Qual é o nome da região pela qual o Reno atravessa?,Rhin-Meuse-Scheldt delta,2.33333,5.30531,0.81818,0.400,0.5,1.85566,1.0,0.000
Qual a classe do Reno?,Extremidade,1.66667,3.43523,1.0,0.500,0.0,1.0,1.0,0.000
Quais são os países que compartilham uma fronteira com o Reno?,Alemanha,1.75,5.02467,1.0,0.400,0.0,1.0,1.0,0.000
Qual é o nome gaulês do Reno?,Rēnos,2.0,4.10211,1.0,0.250,0.0,1.0,1.0,0.000
Qual a classe do rio Reno?,Água de rio,2.0,3.79304,1.0,0.667,0.66667,2.50045,1.0,0.500
Qual o nome do rio em alemão?,Rhein,2.25,4.10211,1.0,1.000,0.0,1.0,1.0,0.000
