cenario;status
Comutação_de_pacotes_few-shot-triplas_verbalizado_140_deepseek-r1:1.5b_0.7_0.95_40;erro
Construction_zero-shot-triplas_RDF_140_qwen3:32b_0.7_0.95_40;sucesso
Jacksonville_zero-shot-triplas_verbalizado_140_qwen2.5:3b_0.7_0.95_40;erro
Jacksonville_few-shot-triplas_verbalizado_140_qwen3:4b_0.7_0.95_40;erro
Número_primo_zero-shot-triplas_RDF_140_deepseek-r1:1.5b_0.7_0.95_40;erro
Número_primo_few-shot-triplas_RDF_140_qwen3:14b_0.7_0.95_40;erro
Número_primo_zero-shot-triplas_RDF_140_qwen3:32b_0.7_0.95_40;erro
Rio_Reno_zero-shot-triplas_verbalizado_140_granite3.1-dense:8b_0.7_0.95_40;erro
Varsóvia_few-shot-triplas_verbalizado_140_gemma3:12b_0.7_0.95_40;erro
Força_zero-shot-triplas_RDF_140_deepseek-r1:1.5b_0.7_0.95_40;erro
Força_zero-shot-triplas_RDF_140_deepseek-r1:7b_0.7_0.95_40;erro
Motor_a_vapor_zero-shot-triplas_verbalizado_140_deepseek-r1:1.5b_0.7_0.95_40;erro
